Provinsi/Kabupaten/Kota/Indonesia,
,Proporsi Perempuan Pernah Kawin 15-49 tahun yang Melahirkan Anak Lahir Hidup Yang Pertama Kali Berumur Kurang dari 20 tahun Menurut Kabupaten/Kota
Rembang,0.334
Pati,0.213
Kudus,0.126
Jepara,0.288
Demak,0.237
Semarang,0.226
Temanggung,0.295
Kendal,0.166
Batang,0.331
Pekalongan,0.248
Pemalang,0.23
Tegal,0.224
Brebes,0.294
Kota Magelang,0.101
Kota Surakarta,0.079
Kota Salatiga,0.135
Kota Semarang,0.144
Kota Pekalongan,0.137
Kota Tegal,0.154
D I YOGYAKARTA,0.112
Kulon Progo,0.143
Bantul,0.054
Gunung Kidul,0.221
Sleman,0.09
Kota Yogyakarta,0.077
JAWA TIMUR,0.226
Pacitan,0.197
Ponorogo,0.102
Trenggalek,0.209
Tulungagung,0.111
Blitar,0.197
Kediri,0.17
Malang,0.24
Lumajang,0.331
Jember,0.384
Banyuwangi,0.248
Bondowoso,0.446
Situbondo,0.336
Probolinggo,0.46
Pasuruan,0.256
Sidoarjo,0.084
Mojokerto,0.213
Jombang,0.128
Nganjuk,0.161
Madiun,0.126
Magetan,0.115
Ngawi,0.187
Bojonegoro,0.268
Tuban,0.234
Lamongan,0.179
Gresik,0.157
Bangkalan,0.269
Sampang,0.353
Pamekasan,0.298
Sumenep,0.373
Kota Kediri,0.073
Kota Blitar,0.064
Kota Malang,0.134
Kota Probolinggo,0.254
Kota Pasuruan,0.208
Kota Mojokerto,0.097
Kota Madiun,0.031
Kota Surabaya,0.126
Kota Batu,0.162
BANTEN,0.221
Pandeglang,0.369
Lebak,0.37
Tangerang,0.211
Serang,0.241
Kota Tangerang,0.098
Kota Cilegon,0.228
Kota Serang,0.264
Kota Tangerang Selatan,0.142
BALI,0.173
Jembrana,0.269
Tabanan,0.168
Badung,0.111
Gianyar,0.176
Klungkung,0.115
Bangli,0.287
Karangasem,0.237
Buleleng,0.204
Kota Denpasar,0.123
NUSA TENGGARA BARAT,0.285
Lombok Barat,0.292
Lombok Tengah,0.357
Lombok Timur,0.326
Sumbawa,0.191
Dompu,0.169
Bima,0.199
Sumbawa Barat,0.28
Lombok Utara,0.268
Kota Mataram,0.288
Kota Bima,0.136
NUSA TENGGARA TIMUR,0.188
Sumba Barat,0.18
Sumba Timur,0.259
Kupang,0.184
Timor Tengah Selatan,0.132
Timor Tengah Utara,0.176
Belu,0.214
Alor,0.143
Lembata,0.184
Flores Timur,0.204
Sikka,0.115
Ende,0.144
Ngada,0.116
Manggarai,0.248
Rote Ndao,0.257
Manggarai Barat,0.273
Sumba Tengah,0.238
Sumba Barat Daya,0.232
Nagekeo,0.097
Manggarai Timur,0.244
Sabu Raijua,0.212
Malaka,0.243
Kota Kupang,0.1
KALIMANTAN BARAT,0.301
Sambas,0.209
Bengkayang,0.339
Landak,0.344
Mempawah,0.231
Sanggau,0.314
Ketapang,0.315
Sintang,0.422
Kapuas Hulu,0.345
Sekadau,0.337
Melawi,0.462
Kayong Utara,0.343
Kubu Raya,0.282
Kota Pontianak,0.182
Kota Singkawang,0.228
KALIMANTAN TENGAH,0.341
Kotawaringin Barat,0.308
Kotawaringin Timur,0.341
Kapuas,0.379
Barito Selatan,0.388
Barito Utara,0.296
Sukamara,0.4
Lamandau,0.432
Seruyan,0.338
Katingan,0.393
Pulang Pisau,0.315
Gunung Mas,0.399
Barito Timur,0.361
Murung Raya,0.423
Kota Palangka Raya,0.193
KALIMANTAN SELATAN,0.313
Tanah Laut,0.397
Kotabaru,0.382
Banjar,0.297
Barito Kuala,0.287
Tapin,0.36
Hulu Sungai Selatan,0.386
Hulu Sungai Tengah,0.299
Hulu Sungai Utara,0.4
Tabalong,0.339
Tanah Bumbu,0.378
Balangan,0.395
Kota Banjarmasin,0.192
Kota Banjar Baru,0.145
KALIMANTAN TIMUR,0.222
Paser,0.294
Kutai Barat,0.352
Kutai Kartanegara,0.277
Kutai Timur,0.305
Berau,0.208
Penajam Paser Utara,0.332
Mahakam Ulu,0.419
Kota Balikpapan,0.119
Kota Samarinda,0.152
Kota Bontang,0.17
KALIMANTAN UTARA,0.278
Malinau,0.38
Bulungan,0.311
Tana Tidung,0.334
Nunukan,0.366
Kota Tarakan,0.158
SULAWESI UTARA,0.271
Bolaang Mongondow,0.356
Minahasa,0.298
Kepulauan Sangihe,0.153
Kepulauan Talaud,0.31
Minahasa Selatan,0.287
Minahasa Utara,0.287
Bolaang Mongondow Utara,0.285
Siau Tagulandang Biaro,0.292
Minahasa Tenggara,0.3
Bolaang Mongondow Selatan,0.415
Bolaang Mongondow Timur,0.414
Kota Manado,0.172
Kota Bitung,0.241
Kota Tomohon,0.202
Kota Kotamobagu,0.289
SULAWESI TENGAH,0.294
Banggai Kepulauan,0.301
Banggai,0.29
Morowali,0.271
Poso,0.235
Donggala,0.297
Toli-Toli,0.32
Buol,0.407
Parigi Moutong,0.339
Tojo Una-Una,0.314
Sigi,0.31
Banggai Laut,0.268
Morowali Utara,0.285
Kota Palu,0.188
SULAWESI SELATAN,0.283
Kepulauan Selayar,0.263
Bulukumba,0.231
Bantaeng,0.226
Jeneponto,0.314
Takalar,0.315
Gowa,0.309
Sinjai,0.281
Maros,0.33
Pangkajene dan Kepulauan,0.354
Barru,0.311
Bone,0.334
Soppeng,0.312
Wajo,0.34
Sidenreng Rappang,0.301
Pinrang,0.262
Enrekang,0.245
Luwu,0.284
Tana Toraja,0.204
Luwu Utara,0.408
Luwu Timur,0.262
Toraja Utara,0.274
Kota Makasar,0.198
Kota Parepare,0.257
Kota Palopo,0.273
SULAWESI TENGGARA,0.363
Buton,0.247
Muna,0.23
Konawe,0.395
Kolaka,0.365
Konawe Selatan,0.474
Bombana,0.426
Wakatobi,0.343
Kolaka Utara,0.39
Buton Utara,0.469
Konawe Utara,0.444
Kolaka Timur,0.337
Konawe Kepulauan,0.274
Muna Barat,0.337
Buton Tengah,0.287
Buton Selatan,0.523
Kota Kendari,0.266
Kota Baubau,0.269
